risk_id,customer_id,assessment_date,credit_score,claim_frequency,risk_score,previous_claims_count,risk_category,last_assessment,assessment_source
RF1001,CU3001,2023-01-01,720,LOW,82.5,1,LOW_RISK,2022-07-05,INTERNAL
RF1002,CU3002,2023-01-15,680,MEDIUM,65.8,3,MEDIUM_RISK,2022-07-20,EXTERNAL
RF1003,CU3003,2023-02-01,750,LOW,88.2,0,LOW_RISK,2022-08-10,INTERNAL
RF1004,CU3004,2023-02-15,630,HIGH,45.3,5,HIGH_RISK,2022-08-25,EXTERNAL
RF1005,CU3005,2023-03-01,700,MEDIUM,72.6,2,MEDIUM_RISK,2022-09-05,INTERNAL
RF1006,CU3006,2023-03-15,600,HIGH,38.9,7,HIGH_RISK,2022-09-20,EXTERNAL
RF1007,CU3007,2023-04-01,760,LOW,91.4,0,LOW_RISK,2022-10-05,INTERNAL
RF1008,CU3008,2023-04-15,650,MEDIUM,58.7,4,MEDIUM_RISK,2022-10-20,EXTERNAL
RF1009,CU3009,2023-05-01,690,MEDIUM,68.2,2,MEDIUM_RISK,2022-11-05,INTERNAL
RF1010,CU3010,2023-05-15,780,LOW,94.6,0,LOW_RISK,2022-11-20,EXTERNAL
RF1011,CU3011,2023-06-01,620,HIGH,42.8,6,HIGH_RISK,2022-12-05,INTERNAL
RF1012,CU3012,2023-06-15,730,LOW,85.1,1,LOW_RISK,2022-12-20,EXTERNAL
RF1013,CU3013,2023-07-01,670,MEDIUM,62.3,3,MEDIUM_RISK,2023-01-05,INTERNAL
RF1014,CU3014,2023-07-15,590,HIGH,35.7,8,HIGH_RISK,2023-01-20,EXTERNAL
RF1015,CU3015,2023-08-01,740,LOW,87.9,0,LOW_RISK,2023-02-05,INTERNAL 